question,answer
Những cái giá phải trả Jack Weich,"Những cái giá phải trả Jack Weich (nguyên chủ tịch - CEO Công ty General Electric), một huyền thoại của Mỹ Hỏi bất cứ nhà doanh nghiệp nào, họ sẽ cho biết CEO là một trong những nghề bấp bênh nhất. Theo bài viết của 2 kinh tế gia hàng đầu Mỹ Warren Bennis và James O’Toole trên chuyên san Harvard Business Review thì hiện tượng sa thải CEO ngày càng tăng Chỉ trong tháng 2-2006, có 119 CEO bị đuổi việc, tăng 37% so với cùng kỳ năm trước. Theo tạp chí Challenger, số CEO cắp cặp ra đi trong 6 tháng cuối năm 2005 tăng 40% so với 6 tháng trước đó. Một trong những nguyên nhân chính là sự ngưng trệ của cỗ máy kinh tế và các nhà đầu tư (cổ đông) không đủ kiên nhẫn ngồi nhìn CEO bất lực trong việc tìm cách thúc đẩy doanh lợi công ty. Đau khổ nhất vẫn là các CEO từ những công ty dot.com (kinh doanh trực tuyến trên mạng Internet). Chỉ xét ở sân chơi kinh doanh này, tình trạng CEO bị đuổi không chỉ xảy ra ở Mỹ mà còn nhiều nơi khác, châu Âu cũng như châu Á. CEO giỏi rất hiếm Tại châu Âu, 4 trong số những công ty dot.com lớn nhất đã sa thải CEO chỉ riêng trong tháng 2-2001, trước khi Tim Koogle rời ghế CEO của Yahoo!. Tuy nhiên, Warren Bennis và James O’Toole cho rằng còn có vài nguyên nhân sâu xa hơn. Thứ nhất, nghề CEO ngày càng nặng nề; thứ hai, người đủ trình độ và khả năng làm tốt nhiệm vụ CEO ngày càng ít. Sức cạnh tranh khốc liệt trong môi trường kinh doanh hiện nay đang tạo ra nhiều sức ép cho nghề CEO và nhiều CEO đã bỏ cuộc chỉ bởi họ không địch lại sức ép trên. Ở những công ty đa quốc gia trong thời toàn cầu hóa, CEO buộc phải di chuyển liên tục chứ không ngồi lì tại tổng hành dinh để chỉ huy. Sự năng động bắt buộc này khiến nhiều người lâm vào tình trạng khủng hoảng. Chris Jones, CEO 45 tuổi của công ty quảng cáo hàng đầu thế giới J. Walter Thompson, đã tuyên bố nghỉ hưu hồi tháng 1-2001, sau khi mắc bệnh huyết khối, hình thành từ những chuyến bay dài ngày liên tục của bà. Wayne Sanders, CEO của Công ty Giấy Kimberly-Clark, cũng chịu không nổi sức ép từ các chuyến công tác dài ngày khiến ông bị khủng hoảng tinh thần đến độ bị chứng mất ngủ và cuối cùng cũng phải rút lui. Trong thực tế, đó là những CEO học nghề quản trị vào thời mà toàn cầu hóa chưa bùng nổ và Internet chưa phát triển. Họ không quen đương đầu cơn lốc kinh doanh tốc độ như hiện nay. Đó cũng là lý do khiến nhiều công ty sa thải lớp CEO cũ và tuyển mộ CEO mới, như trường hợp Tom Glocer, tân CEO của hãng thông tấn Reuters, một chuyên gia về phần mềm. Ngoài ra, còn một nguyên nhân nữa: các vụ sáp nhập hàng loạt. Khi 2 công ty sáp nhập thì chỉ còn một người cho một ghế CEO. Ngày 24-1-2001, John Mack – nguyên CEO của Ngân hàng Đầu tư Morgan Stanley (sáp nhập với Ngân hàng Dean Witter) – đã từ chức, nhường chiếc ghế lãnh đạo cho Philip Purcell (thuộc Dean Witter). Nữ hoàng Elizabeth I cũng là CEO giỏi Tình trạng khủng hoảng thiếu CEO giỏi trong làng doanh nghiệp thế giới nói chung đã hình thành từ niềm tin sai lầm rằng CEO là người có thiên khiếu lãnh đạo, chứ không qua đào tạo, như các trường hợp điển hình chẳng hạn Bill Gates của Microsoft hay Jack Welch của General Electric (báo Time chọn Jack Welch là “CEO thế kỷ 20”). Niềm tin này khiến người ta có khuynh hướng lập những bản phân tích, liệt kê chi tiết các phẩm chất của giới lãnh đạo trong lịch sử, từ những vị vua, anh hùng thời chiến cho đến cả nhà thám hiểm, lấy đó làm tiêu chuẩn cho việc tuyển mộ CEO. Một trớ trêu đã xuất hiện: Hình tượng tiêu chuẩn thường bị thay đổi qua thời đại, thậm chí có khi chỉ qua một thời gian ngắn. Đầu năm ngoái, hình tượng kiểu mẫu là Jeanne’ d’Arc (nữ anh hùng nước Pháp) nhưng vào cuối năm thì lại là Nữ hoàng Anh Elizabeth I. Bà đã được tôn vinh trong 2 quyển: Elizabeth I, CEO của Alan Axelro, và Leadership secrets of Elizabeth I (Những bí mật lãnh đạo của Elizabeth I) của tác giả Shaun Higgins và Pamela Gilberd. Thực tế cho thấy một số kỹ năng lãnh đạo chỉ có thể học qua thời gian làm việc trực tiếp. Nhiều CEO thú thật rằng họ mất trung bình 18 tháng để nắm vững kỹ năng quản trị trong môi trường thực tế. Dù thế nào, giới kinh tế cũng cho rằng các ban giám đốc điều hành nên chọn CEO được đào tạo trường lớp, tốt hơn nhiều so với việc vất vả đi tìm hình mẫu như Elizabeth I, một người đàn bà không chồng sống hồi thế kỷ 16!"
Nga bắt hai điệp viên làm việc cho Anh,"Nga bắt hai điệp viên làm việc cho Anh Đoạn video chiếu trên truyền hình Nga cho thấy tảng đá giả này đã được các nhân viên sứ quán Anh dùng để thu thập tin tình báo Nga vừa bắt giữ hai điệp viên được cho là đang làm việc cho tình báo Anh. Vụ bắt giữ này chỉ xảy ra ít lâu sau khi truyền hình Nga công bố đoạn video cho thấy các nhân viên sứ quán Anh đang hoạt động gián điệp tại Nga. Hãng thông tấn Interfax hôm qua dẫn lời Nikolai Kovalyov, cựu giám đốc Cơ quan An ninh liên bang Nga (FSB) cho biết: “Hai điệp viên người Anh đã bị bắt giữ. Đương nhiên họ không im lặng. Họ đang khai báo”. Tuy nhiên Kovalyov không nói rõ những người bị bắt giữ có liên quan gì đến vụ “tảng đá giả” được công bố hồi tuần trước hay không. Tại London, người phát ngôn Bộ Ngoại giao Anh cho biết Anh đang tìm kiếm thông tin từ Bộ Ngoại giao Nga về vụ việc mới nhất này. “Chúng tôi không được cho biết cũng như không rõ liệu những người bị bắt này có phải là nhân viên Anh hay không”, người phát ngôn này nói. Chủ nhật tuần trước, truyền hình Nga chiếu một đoạn video cho thấy 4 nhân viên sứ quán Anh đang bắt thông tin tình báo từ một tảng đá giả có gắn máy thu tại một công viên ở Moscow và tải các dữ liệu từ máy thu này. Hôm thứ tư, hạ viện Nga cũng đã chỉ trích các cơ quan tình báo nước ngoài đã ủng hộ tiền bạc cho các tổ chức phi chính phủ Nga (NGO)."
Sập mái nhà triển lãm,"Sập mái nhà triển lãm, hơn 100 người chết và bị thương Cấp cứu người bị nạn Ngày 28-1, ít nhất 20 người đã thiệt mạng và 100 người bị thương khi mái của một tòa nhà triển lãm ở gần thành phố Katowice, miền Nam Ba Lan, bị sập do tuyết phủ quá dầy và đè lên đám đông đang ở trong triển lãm. Người phát ngôn của cảnh sát khu vực Jaroslaw Wojtasik nói rằng, 20 người đã chết, khoảng 100 người bị thương và 100 người khác vẫn đang bị mắc kẹt dưới mái làm bằng kim loại của tòa nhà triển lãm."
Động đất gây hoảng loạn ở Indonesia,"Động đất gây hoảng loạn ở Indonesia Vị trí nơi xảy ra động đất sáng nay ở Indonesia Một trận động đất mạnh ở tỉnh miền đông Maluku sáng sớm nay đã khiến dân chúng hoảng sợ. Hiện chưa có thông tin cụ thể về thương vong, còn mối đe dọa sóng thần đã được loại trừ. Cơn địa chấn 7,3 độ Richter làm rung chuyển nhiều thành phố trên các đảo của Maluku diễn ra lúc 1h58 giờ địa phương sáng nay, Trung tâm Động đất quốc gia Indonesia cho biết. Tuuy nhiên, Cơ quan địa chấn Mỹ cho hay trận động đất có cường độ tới 7,7 độ Richter. Trung tâm Cảnh báo Sóng thần Thái bình dương đã thông báo không có nguy cơ sóng thần. Trận động đất diễn ra bên ngoài Thái bình dương. Hiện không có nguy cơ sóng thần ở đại dương này hay nơi nào khác, (kết luận này) dựa trên các số liệu về động đất và sóng thần trong lịch sử, Trung tâm cảnh báo cho hay. Tâm chấn của động đất ở biển Banda, cách Jakarta khoảng 2.300 km về phía đông bắc, và nằm sâu 400 km dưới mặt nước biển. Quan chức cơ quan địa chấn Indonesia cho biết do động đất xảy ra rất sâu nên không gây nguy cơ sóng thần. Tuy nhiên, động đất khiến người dân vô cùng hoảng loạn, nhiều người bỏ chạy ra khỏi nhà. Hiện chưa có con số thương vong. Tháng 12/2004, một trận động đất mạnh đã gây sóng thần trên các vùng bờ biển Ấn Độ dương, khiến hàng trăm nghìn người chết, trong đó Indonesia bị thiệt hại nặng nhất, với khoảng 170.000 người chết hoặc mất tích. Indonesia nằm trên vành đai núi lửa ở Thái bình dương, nơi động đất và núi lửa hoạt động thường xuyên."
Người Palestine biểu tình,"Người Palestine biểu tình đòi tổng thống từ chức Tổng thống chính quyền Palestine Mamoud Abbas Hàng đoàn người giận dữ trước thất bại của đảng Fatah hôm qua đã tuần hành trên Dải Gaza để đòi lãnh đạo đảng, đồng thời là tổng thống Chính quyền Palestine Mamoud Abbas từ chức. Nhiều người tụ họp bên ngoài tòa nhà nghị viện ở thành phố Gaza, châm lửa đốt các xe ô tô của chính quyền và bắn chỉ thiên để bày tỏ sự tức giận. Người biểu tình cho rằng chính nạn tham nhũng và bất lực trong nội bộ đảng Fatah là nguyên nhân thất bại của họ trong cuộc bầu cử vừa rồi, để chiến thắng rơi vào tay nhóm Hamas. Nhóm có tư tưởng vũ trang này đã giành thắng lợi vang dội, thu được 76 trong số 132 ghế của cơ quan lập pháp. Ông Abbas cho biết sẽ đề nghị Hamas lập chính phủ mới, trong khi đảng này tuyên bố sẽ thương thảo với Fatah để nhanh chóng tạo ra sự thống nhất và đoàn kết. Trong lúc này Hamas đang chịu sức ép ngày càng tăng từ cộng đồng quốc tế yêu cầu đảng này từ bỏ tư tưởng dùng bạo lực chống Israel, cùng với nguy cơ các nhà tài trợ quốc tế rút nguồn viện trợ hàng tỷ đôla dành chho Palestine. Bình tĩnh và đoàn kết Những người biểu tình bên ngoài tòa nhà lập pháp ở Gaza và hàng nghìn người Palestine ở các trại tị nạn yêu cầu toàn bộ ban lãnh đạo của Fatah từ chức. Trong số những người tham gia biểu tình có cả các thành viên Fatah đã từ bỏ đảng, chẳng hạn các thành viên của Lữ đoàn Tử vì đạo al-Aqsa. Một chiến binh của Lữ đoàn nói: Chúng toi kêu gọi Abbas từ bỏ chức vụ trong Hội đồng cách mạng Fatah và Ủy ban trung ương. Chúng tôi muốn ông ấy và cả bộ sậu của ông rút lui. Trong khi đó thì nhà lãnh đạo Fatah là Mohammad Dahlan kêu gọi công chúng bình tĩnh. Những vụ bạo lực nhỏ đã xuất hiện giữa những người ủng hộ Hamas và Fatah, một số người bị thương. Lãnh đạo Hamas, trong bài phát biểu đầu tiên kể từ khi giành thắng lợi, cũng kêu gọi kiềm chế và đoàn kết. Giới quan sát nhận định sẽ có một chính phủ liên minh ở Palestine, bởi nếu Hamas đơn thương độc mã lãnh đạo sẽ gây những phản ứng tiêu cực từ bên ngoài, nguồn viện trợ rất có thể bị cắt. Hôm qua, Ủy ban Châu Âu - cơ quan đề nghị tài trợ 280 triệu euro cho Palestine hồi năm ngoái, thừa nhận rằng họ đang bối rối về chuyện này. Mỹ tuyên bố sẽ xem xét lại các khoản viện trợ thông qua các tổ chức phi chính phủ nếu Hamas một mình thành lập chính phủ. Israel ở trong tình trạng báo đọng cao. Nước này đã loại mọi khả năng đàm phán với Hamas và gọi đảng này là một tổ chức khủng bố vũ trang muốn hủy diệt Israel. Các nước Mỹ, Nga, EU và Liên Hợp quốc hôm thứ năm đã đồng loạt kêu gọi Hamas từ bỏ bạo lực và chấp nhận quyền tồn tại của một nhà nước Israel."
Mỹ trả tự do cho 419 tù nhân,"Mỹ trả tự do cho 419 tù nhân Irắc Ngày 26/1, Tư lệnh lục quân Mỹ tại Irắc cho biết quân đội nước này đã trả tự do cho 419 tù nhân người địa phương, trong đó có 5 phụ nữ. Động thái này làm tăng hy vọng về số phận của nhà báo Mỹ Gin Carôn, 28 tuổi, bị các tay súng Irắc bắt cóc tại thủ đô Bátđa hôm 7/1. Những phần tử bắt cóc đe dọa sẽ giết Carôn nếu tất cả những phụ nữ Irắc đang bị lực lượng Mỹ giam giữ không được trả tự do. Cùng ngày, quan chức chính phủ Irắc cho biết họ đang thúc ép Mỹ phải trả tự do cho tất cả những phụ nữ Irắc đang bị lính Mỹ giam giữ, đồng thời lên án việc Mỹ tiếp tục bắt giữ người dân nước này. Hiện thời, Mỹ giam giữ khoảng 14.000 người Irắc."
Cá mập tàng hình,"“Cá mập tàng hình” Lầu Năm Góc (Mỹ) đang tài trợ cho việc nghiên cứu cách biến cá mập thành “gián điệp tàng hình” để tuần tra dưới biển.Ý tưởng này xuất phát từ những cuộc thử nghiệm gần đây, trong đó các nhà khoa học cấy những điện cực nhỏ xíu vào não động vật để kiểm soát chúng."
Thêm một nhà báo Pháp mất tích,"Thêm một nhà báo Pháp mất tích tại Iraq Nhà báo Pháp Aubenas Cho đến chiều hôm qua, 7-1, chính quyền Pháp và báo Libération vẫn chưa nhận được thông tin chính xác về bà Florence Aubenas, 43 tuổi, đặc phái viên của báo này bị mất tích tại Iraq hôm 5-1. Trả lời phỏng vấn trên đài truyền hình LCI, Ngoại trưởng Pháp Michel Barnier nói rằng ông rất lo ngại vì trong nhiều giả thuyết, có thể bà Aubenas đã bị bắt làm con tin. Còn Tổng thống Pháp J. Chirac khuyến cáo các nhà báo Pháp hãy rời Iraq. Báo Libération cho biết cả bà Aubenas lẫn người dẫn đường, trợ lý và phiên dịch Hussein Hanoun Al-Saadi - bị mất tích cùng lúc với bà - đều là người có kinh nghiệm trong tác nghiệp. Bà Aubenas làm việc cho báo này từ năm 1986 từng đưa tin chiến cuộc tại Rwanda, Kosovo, Algeria và Afghanistan. Bà đến Baghdad hôm 16-12-2004, trong khi ông Al-Saadi từng cộng tác với bà trong 2 năm qua. Ngoài trường hợp bà Aubenas và 2 nhà báo Pháp Christian Chesnot và Georges Malbrunot - bị bắt cóc hồi tháng 8 và được thả ngày 21-12-2004 - còn một nhà báo Pháp khác là Frédéric Nérac, làm việc cho đài truyền hình Anh ITN, mất tích từ ngày 22-3-2003, đến nay không có tin tức."
Điều kỳ lạ của sự sống,"Điều kỳ lạ của sự sống! Bà Malawati được đưa đến bệnh viện Một phụ nữ Indonesia được cứu sống vào tuần rồi sau 5 ngày lênh đênh trên Ấn Độ Dương vừa được các bác sĩ phát hiện là đang mang thai. Malawati, tên người phụ nữ trên (ảnh), cho rằng bà biết mình mang thai 18 tuần nhưng không cho các nhân viên cứu hộ biết vì nghĩ là mình đã mất đứa con khi cố chống chọi với cơn sóng thần. Các bác sĩ tại Bệnh viện Penang, miền Bắc Malaysia, nơi Malawati đang được chăm sóc, vô cùng sửng sốt khi phát hiện bào thai trong bụng Malawati vẫn còn sống và khỏe mạnh. Bà Malawati cũng cung cấp thêm chi tiết về trường hợp sống sót thần kỳ của mình. Bà kể: “Sóng thần cuốn tôi và chồng ra biển. Tôi suýt bị chết đuối hai lần vì không biết bơi. May là tôi bám được vào một thân cây cọ sago và sống qua ngày nhờ ăn trái cây và vỏ của nó. Tôi cũng nhìn thấy cá mập bơi xung quanh mình và cầu nguyện nó sẽ không ăn thịt tôi”. Tuy nhiên, niềm vui của Malawati vẫn chưa trọn vẹn vì chồng cô vẫn còn mất tích."
Các nhóm khủng bố ở Iraq,"Các nhóm khủng bố ở Iraq có thể sử dụng vũ khí huỷ diệt Các đường ống dẫn dầu ở Iraq thường xuyên bị các nhóm vũ trang tấn công, phá hoại. Tình trạng bất ổn ở Iraq đang tạo cơ hội cho các du kích Hồi giáo có được kinh nghiệm và các mối liên hệ sử dụng trong các vụ tấn công mới ở nước ngoài - Giám đốc Cục Tình báo Trung ương Mỹ (CIA) Porter Goss cảnh báo hôm 16.2. Ông Goss cho rằng, việc những kẻ khủng bố sử dụng vũ khí hạt nhân làm phương tiện chỉ là vấn đề thời gian. Tận dụng xung đột để gây dựng lực lượng Tại phiên điều trần đầu tiên kể từ khi nhậm chức trước Uỷ ban Tình báo Thượng viện Mỹ hôm 16.2, ông Porter Goss cho biết: CIA đã có hàng loạt những thông tin tình báo rất thật về việc Al-Qaeda đang lên kế hoạch tấn công nước Mỹ. Ông Goss nhận xét, Iraq đang trở thành địa điểm huấn luyện của lực lượng khủng bố Hồi giáo. Cuộc xung đột ở Iraq, không phải gây ra bởi chủ nghĩa cực đoan, nhưng đã trở thành nguyên nhân gây ra chủ nghĩa này, ông Goss nhấn mạnh. Theo ông, lực lượng Al-Qaeda do al-Zarqawi cầm đầu đang tìm mọi cách mang lại chiến thắng cho người Hồi giáo, chống lại phương Tây và al-Zarqawi đã tận dụng tình hình bất ổn ở Iraq để gây dựng căn cứ, tuyển mộ các tay súng nước ngoài nhằm đạt được mục đích của mình. Nguy hiểm hơn, theo ông Goss, việc Al-Qaeda và các nhóm khủng bố khác sử dụng vũ khí hoá học, sinh học, phóng xạ và vũ khí hạt nhân làm phương tiện tấn công chỉ là vấn đề thời gian. Cần nhắc lại là, trước khi phát động cuộc tấn công Iraq, Tổng thống Mỹ G.Bush đã viện nhiều lý do, trong đó cáo buộc Tổng thống Iraq Saddam Hussein có quan hệ với Al-Qaeda và Iraq là nơi ẩn náu của nhóm khủng bố này. Nhưng sau đó, tình báo Mỹ đã xác nhận không có mối liên quan nào giữa ông Saddam Hussein với Al-Qaeda và số lượng những kẻ khủng bố ở Iraq không đáng kể. Vậy mà kể khi Mỹ phát động cuộc chiến để loại trừ khủng bố ở Iraq, tình hình nước này cứ ngày một trở nên bất ổn và kết quả là các tay súng nước ngoài đã tràn vào Iraq qua biên giới ngày một nhiều, đến nỗi các nhà chỉ trích đã phải thốt lên: Cuộc chiến Iraq đã đi chệch hướng của cuộc chiến chống khủng bố toàn cầu và thổi bùng bạo lực ở Iraq. Nhà báo Italia kêu cứu Những lời cảnh báo của ông Goss được đưa ra đúng vào thời điểm nữ phóng viên làm việc cho tờ Il Manifesto (Italia) Giuliana Sgrena xuất hiện trong một đoạn băng video, cầu xin mọi người giúp đỡ và kêu gọi liên quân do Mỹ đứng đầu rút khỏi Iraq. Nhà báo này bị một nhóm chiến binh có tên gọi Tổ chức Jihad Hồi giáo, bắt cóc ở Baghdad hồi đầu tháng. Trong đoạn băng, Giuliana Sgrena vừa khóc vừa nói: Các ông phải chấm dứt cuộc chiếm đóng, đó là cách duy nhất chúng ta có thể giải quyết tình huống này. Cô nói thêm: Tôi đề nghị chính phủ và người dân Italia đấu tranh chống lại việc chiếm đóng Iraq. Thủ tướng Italia Silvio Berlusconi tuyên bố nước ông đang tìm cách đảm bảo an toàn cho Giuliana Sgrena. Nhưng trong khi đoạn băng trên được chiếu liên tục trên truyền hình Italia thì cũng là lúc Thượng viện nước này đang chuẩn bị bỏ phiếu về việc, có nên kéo dài việc chi kinh phí hoạt động cho hơn 3.000 binh sĩ của mình ở Iraq hay không. Ai là Thủ tướng Iraq? Trong khi đó, sau cuộc bầu cử lịch sử tại Iraq, các chính trị gia người Shiite vẫn chưa thoả thuận được việc chọn người đại diện cho mình ứng cử chức vụ Thủ tướng Iraq trong số hai ứng cử viên chính là ông Ibrahim al-Jaafari và Ahmad Chalabi. Cuộc đàm phán mới đây nhất hôm 16.2 đã tiếp tục không đạt kết quả và buộc phải viện đến phương sách cuối cùng là bỏ phiếu kín. Cuộc bỏ phiếu dự kiến sẽ diễn ra ngày hôm nay (18.2). Ông Ali Hashim al-Youshaa, lãnh đạo liên minh cho biết, trước khi bỏ phiếu, hai ứng cử viên sẽ phải đệ trình các chương trình nghị sự của mình cho các thành viên của liên minh gồm 140 nghị sĩ của Liên minh Shiite thống nhất (UIA) và 8 nhân vật thuộc hai liên minh của UIA sẽ quyết định ai là thủ tướng. Al-Jaafari, 58 tuổi, là lãnh đạo của đảng al-Dawa, một trong những đảng lâu đời nhất ở Iraq. Mặc dù ông tỏ ra là một người trung dung nhưng bản chất của đảng al-Dawa là bảo thủ. Trả lời phỏng vấn báo chí hôm 15.2, al-Jaafari cho biết, ưu tiên hàng đầu của ông nếu được bổ nhiệm làm thủ tướng là dập tắt bạo lực. Ông sẽ yêu cầu quân đội Mỹ ở lại đến khi nào họ muốn. Chalabi, 58 tuổi, lãnh tụ Đại hội Dân tộc Iraq (INC) là người từng có quan hệ mật thiết với Lầu Năm góc. Tuy nhiên, mối quan hệ này đã bị sứt mẻ, sau khi phía Mỹ cáo buộc rằng ông này chuyển thông tin tình báo cho Iran. INC là một đảng ủng hộ cho các nhóm: Người Iraq lưu vong, người Kurd và Shiite. Nếu trở thành thủ tướng, Chalabi cho biết sẽ xây dựng một cơ quan tình báo vững mạnh và khởi tố Muqtada al-Sadr do tiến hành hai cuộc kháng cự đẫm máu năm ngoái. Những khác biệt của hai ứng viên và cách thức lựa chọn thủ tướng theo kiểu bỏ phiếu kín đã làm nổi rõ sự chia rẽ trong nội bộ đảng của người Shiite. Tuy nhiên, phát ngôn viên của Chalabi Hayder al-Mousawi cho rằng đó không phải là vấn đề chính. Tất cả mọi người sẽ thuận theo kết quả cuộc bỏ phiếu kín, dù nó có thế nào, ông nói."
