question,answer
không chắc.Có một bộ phim nào bắt mắt bạn?,Không có phim hay đến với tâm trí.
Không có phim hay đến với tâm trí.,Bạn đã quyết định liệu bạn có muốn đi hay không?
Bạn đã quyết định liệu bạn có muốn đi hay không?,không cám ơn.Có thể là một thời điểm khác.
Bạn đã đi học ngày hôm nay?,Vâng tôi đã đi học hôm nay.Bạn có ở đó không?
Vâng tôi đã đi học hôm nay.Bạn có ở đó không?,Không tôi không đi tôi đã bị bệnh.
Không tôi không đi tôi đã bị bệnh,điều đó thật tệ.Bạn có muốn các bài tập từ lớp tiếng Anh?
điều đó thật tệ.Bạn có muốn các bài tập từ lớp tiếng Anh?,Điều đó sẽ rất tốt cảm ơn bạn.
Điều đó sẽ rất tốt cảm ơn bạn.,Không sao bạn được chào đón.
Không sao bạn được chào đón.,Tôi sẽ rất vui khi làm điều tương tự cho bạn khi bạn bị bệnh.
Tôi sẽ rất vui khi làm điều tương tự cho bạn khi bạn bị bệnh.,vậy cám ơn.Tôi hy vọng sẽ gặp bạn ở trường vào ngày mai.
Bạn đã đi học hôm nay chưa?,Tôi đã đi học hôm nay.Bạn đã?
Tôi đã đi học hôm nay.Bạn đã?,Tôi không thể đi học vì tôi cảm thấy bị bệnh.
Tôi không thể đi học vì tôi cảm thấy bị bệnh.,Tôi rất tiếc khi nghe điều đó.Bạn có muốn các bài tập từ lớp tiếng Anh không?
Tôi rất tiếc khi nghe điều đó.Bạn có muốn các bài tập từ lớp tiếng Anh không?,Tôi thực sự sẽ đánh giá cao điều đó cảm ơn.
Tôi thực sự sẽ đánh giá cao điều đó cảm ơn.,Không có rắc rối nào cả.
Không có rắc rối nào cả.,Nếu bạn bị bệnh tôi sẽ trả lại sự ưu ái.
Nếu bạn bị bệnh tôi sẽ trả lại sự ưu ái.,Cảm ơn.Hẹn gặp lại bạn ở trường vào ngày mai nếu bạn cảm thấy tốt hơn.
Bạn đã đi học hôm nay chưa?,Tôi đã đi học hôm nay.Bạn đã đi học?
Tôi đã đi học hôm nay.Bạn đã đi học?,Hôm nay tôi không thể đi học tôi bị ốm.
Hôm nay tôi không thể đi học tôi bị ốm.,Điều đó thật kinh khủng.Tôi rất vui khi cung cấp cho bạn các bài tập từ lớp tiếng Anh.
Điều đó thật kinh khủng.Tôi rất vui khi cung cấp cho bạn các bài tập từ lớp tiếng Anh.,Cảm ơn bạn rất nhiều đó là loại bạn.
Cảm ơn bạn rất nhiều đó là loại bạn.,Đừng đề cập đến nó.
Đừng đề cập đến nó.,Khi bạn bỏ lỡ một ngày đi học tôi sẽ sẵn lòng giao cho bạn các bài tập tiếng Anh.
Bạn đã nghe những tin tức?,chuyện gì đã xảy ra thế?
chuyện gì đã xảy ra thế?,Anh em họ của chúng tôi đã chuyển dạ và có con vào tuần trước.
Anh em họ của chúng tôi đã chuyển dạ và có con vào tuần trước.,cô ấy đã làm?Tại sao không ai nói với tôi?
cô ấy đã làm?Tại sao không ai nói với tôi?,Tôi đã nghĩ rằng ai đó sẽ nói với bạn.
Tôi đã nghĩ rằng ai đó sẽ nói với bạn.,Không tôi không có ý tưởng.
Không tôi không có ý tưởng.,Chà cô ấy đã làm em bé của cô ấy là 8 pounds 6 ounce.
Chà cô ấy đã làm em bé của cô ấy là 8 pounds 6 ounce.,Ôi Chúa ơi thật tuyệt!
Ôi Chúa ơi thật tuyệt!,Bạn sẽ đi thăm cô ấy và em bé?
Bạn sẽ đi thăm cô ấy và em bé?,Tôi nghĩ rằng tôi có thể.
Tôi nghĩ rằng tôi có thể.,Tốt!Tôi chỉ nghĩ rằng tôi sẽ cho bạn biết.
Tốt!Tôi chỉ nghĩ rằng tôi sẽ cho bạn biết.,Cảm ơn vì đã nói với tôi.
Bạn đã nghe những gì đã xảy ra?,nghe những gì?
nghe những gì?,Debrah đã có con.
Debrah đã có con.,Tôi không biết điều đó.
Tôi không biết điều đó.,Tôi nghĩ bạn biết.
Tôi nghĩ bạn biết.,Tôi thực sự không biết.
Tôi thực sự không biết.,Đứa bé là 8 pounds 6 ounce.
Đứa bé là 8 pounds 6 ounce.,Thật tuyệt khi nghe điều đó.
Thật tuyệt khi nghe điều đó.,Bạn sẽ đi thăm họ?
Bạn sẽ đi thăm họ?,Dĩ nhiên tôi sẽ.
Dĩ nhiên tôi sẽ.,Tôi chỉ muốn cung cấp cho bạn một tin tốt.
Tôi chỉ muốn cung cấp cho bạn một tin tốt.,Cảm ơn vì đã cho tôi biết.
Bạn đã nghe những tin tức?,Tôi chưa nghe thấy gì.
Tôi chưa nghe thấy gì.,Debrah đã có con vào tuần trước.
Debrah đã có con vào tuần trước.,không ai nói với tôi.
không ai nói với tôi.,Tôi nghĩ bạn đã nghe.
Tôi nghĩ bạn đã nghe.,Tôi thực sự không được nói bất cứ điều gì.
Tôi thực sự không được nói bất cứ điều gì.,Cô ấy là 8 pound 6 pounds dễ thương.
Cô ấy là 8 pound 6 pounds dễ thương.,Wow thật thú vị.
Wow thật thú vị.,Tôi biết bạn thực sự nên đi gặp cô ấy và em bé.
Tôi biết bạn thực sự nên đi gặp cô ấy và em bé.,Dĩ nhiên tôi sẽ.
