question,answer
Điều 118 bộ luật dân sự,"Mục đích của giao dịch dân sự Mục đích của giao dịch dân sự là lợi ích mà chủ thể mong muốn đạt được khi xác lập giao dịch đó"
Điều 119 bộ luật dân sự,"Hình thức giao dịch dân sự 1 Giao dịch dân sự được thể hiện bằng lời nói, bằng văn bản hoặc bằng hành vi cụ thể Giao dịch dân sự thông qua phương tiện điện tử dưới hình thức thông điệp dữ liệu theo quy định của pháp luật về giao dịch điện tử được coi là giao dịch bằng văn bản 2 Trường hợp luật quy định giao dịch dân sự phải được thể hiện bằng văn bản có công chứng, chứng thực, đăng ký thì phải tuân theo quy định đó"
Điều 120 bộ luật dân sự,"Giao dịch dân sự có điều kiện 1 Trường hợp các bên có thỏa thuận về điều kiện phát sinh hoặc hủy bỏ giao dịch dân sự thì khi điều kiện đó xảy ra, giao dịch dân sự phát sinh hoặc hủy bỏ 2 Trường hợp điều kiện làm phát sinh hoặc hủy bỏ giao dịch dân sự không thể xảy ra được do hành vi cố ý cản trở trực tiếp hoặc gián tiếp của một bên thì coi như điều kiện đó đã xảy ra; trường hợp có sự tác động trực tiếp hoặc gián tiếp của một bên cố ý thúc đẩy cho điều kiện xảy ra thì coi như điều kiện đó không xảy ra"
Điều 121 bộ luật dân sự,"Giải thích giao dịch dân sự 1 Giao dịch dân sự có nội dung không rõ ràng, khó hiểu, được hiểu theo nhiều nghĩa khác nhau và không thuộc quy định tại khoản 2 Điều này thì việc giải thích giao dịch dân sự đó được thực hiện theo thứ tự sau đây: a Theo ý chí đích thực của các bên khi xác lập giao dịch; b Theo nghĩa phù hợp với mục đích của giao dịch; c Theo tập quán nơi giao dịch được xác lập 2 Việc giải thích hợp đồng được thực hiện theo quy định tại Điều 404 của Bộ luật này; việc giải thích nội dung di chúc được thực hiện theo quy định tại Điều 648 của Bộ luật này"
Điều 122 bộ luật dân sự,"Giao dịch dân sự vô hiệu Giao dịch dân sự không có một trong các điều kiện được quy định tại Điều 117 của Bộ luật này thì vô hiệu, trừ trường hợp Bộ luật này có quy định khác"
Điều 123 bộ luật dân sự,"Giao dịch dân sự vô hiệu do vi phạm điều cấm của luật, trái đạo đức xã hội Giao dịch dân sự có mục đích, nội dung vi phạm điều cấm của luật, trái đạo đức xã hội thì vô hiệu . Điều cấm của luật là những quy định của luật không cho phép chủ thể thực hiện những hành vi nhất định Đạo đức xã hội là những chuẩn mực ứng xử chung trong đời sống xã hội, được cộng đồng thừa nhận và tôn trọng"
Điều 124 bộ luật dân sự,"Giao dịch dân sự vô hiệu do giả tạo 1 Khi các bên xác lập giao dịch dân sự một cách giả tạo nhằm che giấu một giao dịch dân sự khác thì giao dịch dân sự giả tạo vô hiệu, còn giao dịch dân sự bị che giấu vẫn có hiệu lực, trừ trường hợp giao dịch đó cũng vô hiệu theo quy định của Bộ luật này hoặc luật khác có liên quan 2 Trường hợp xác lập giao dịch dân sự giả tạo nhằm trốn tránh nghĩa vụ với người thứ ba thì giao dịch dân sự đó vô hiệu"
Điều 125 bộ luật dân sự,"Giao dịch dân sự vô hiệu do người chưa thành niên, người mất năng lực hành vi dân sự, người có khó khăn trong nhận thức, làm chủ hành vi, người bị hạn chế năng lực hành vi dân sự xác lập, thực hiện 1 Khi giao dịch dân sự do người chưa thành niên, người mất năng lực hành vi dân sự, người có khó khăn trong nhận thức, làm chủ hành vi hoặc người bị hạn chế năng lực hành vi dân sự xác lập, thực hiện thì theo yêu cầu của người đại diện của người đó, Tòa án tuyên bố giao dịch đó vô hiệu nếu theo quy định của pháp luật giao dịch này phải do người đại diện của họ xác lập, thực hiện hoặc đồng ý, trừ trường hợp quy định tại khoản 2 Điều này 2 Giao dịch dân sự của người quy định tại khoản 1 Điều này không bị vô hiệu trong trường hợp sau đây: a Giao dịch dân sự của người chưa đủ sáu tuổi, người mất năng lực hành vi dân sự nhằm đáp ứng nhu cầu thiết yếu hàng ngày của người đó; b Giao dịch dân sự chỉ làm phát sinh quyền hoặc chỉ miễn trừ nghĩa vụ cho người chưa thành niên, người mất năng lực hành vi dân sự, người có khó khăn trong nhận thức, làm chủ hành vi, người bị hạn chế năng lực hành vi dân sự với người đã xác lập, thực hiện giao dịch với họ; c Giao dịch dân sự được người xác lập giao dịch thừa nhận hiệu lực sau khi đã thành niên hoặc sau khi khôi phục năng lực hành vi dân sự"
Điều 126 bộ luật dân sự,"Giao dịch dân sự vô hiệu do bị nhầm lẫn 1 Trường hợp giao dịch dân sự được xác lập có sự nhầm lẫn làm cho một bên hoặc các bên không đạt được mục đích của việc xác lập giao dịch thì bên bị nhầm lẫn có quyền yêu cầu Tòa án tuyên bố giao dịch dân sự vô hiệu, trừ trường hợp quy định tại khoản 2 Điều này 2 Giao dịch dân sự được xác lập có sự nhầm lẫn không vô hiệu trong trường hợp mục đích xác lập giao dịch dân sự của các bên đã đạt được hoặc các bên có thể khắc phục ngay được sự nhầm lẫn làm cho mục đích của việc xác lập giao dịch dân sự vẫn đạt được"
Điều 127 bộ luật dân sự,"iao dịch dân sự vô hiệu do bị lừa dối, đe dọa, cưỡng ép Khi một bên tham gia giao dịch dân sự do bị lừa dối hoặc bị đe dọa, cưỡng ép thì có quyền yêu cầu Tòa án tuyên bố giao dịch dân sự đó là vô hiệu Lừa dối trong giao dịch dân sự là hành vi cố ý của một bên hoặc của người thứ ba nhằm làm cho bên kia hiểu sai lệch về chủ thể, tính chất của đối tượng hoặc nội dung của giao dịch dân sự nên đã xác lập giao dịch đó Đe dọa, cưỡng ép trong giao dịch dân sự là hành vi cố ý của một bên hoặc người thứ ba làm cho bên kia buộc phải thực hiện giao dịch dân sự nhằm tránh thiệt hại về tính mạng, sức khỏe, danh dự, uy tín, nhân phẩm, tài sản của mình hoặc của người thân thích của mình"
