question,answer
Thành phố này đầy những kẻ ngốc.,Những người thô lỗ ở khắp mọi nơi.
Những người thô lỗ ở khắp mọi nơi.,nhưng bạn co thể lam gi?
nhưng bạn co thể lam gi?,Bạn có thể hét vào mặt họ.
Bạn có thể hét vào mặt họ.,Và họ sẽ hét lại với bạn.
Và họ sẽ hét lại với bạn.,la hét không làm gì tốt.
la hét không làm gì tốt.,KHÔNG.Điều tốt nhất để làm chỉ là ở nhà.
Bạn sẽ nhìn vào hình thức này?,Bạn đang gặp vấn đề với nó?
Bạn đang gặp vấn đề với nó?,Tôi không hiểu một số điều.
Tôi không hiểu một số điều.,hãy để tôi giúp bạn.
hãy để tôi giúp bạn.,"MI" có nghĩa là gì?
"MI" có nghĩa là gì?,"MI" là viết tắt của giữa ban đầu.
"MI" là viết tắt của giữa ban đầu.,"mm/dd/yy" có nghĩa là gì?
"mm/dd/yy" có nghĩa là gì?,Điều đó có nghĩa là tháng/ngày/năm.Sử dụng số.
Điều đó có nghĩa là tháng/ngày/năm.Sử dụng số.,Tôi không hiểu.
Tôi không hiểu.,Ví dụ: nếu ngày sinh của bạn là ngày 12 tháng 1 năm 1987 hãy viết 01/12/87.
Ví dụ: nếu ngày sinh của bạn là ngày 12 tháng 1 năm 1987 hãy viết 01/12/87.,Ồ.đủ đơn giản.
Ồ.đủ đơn giản.,Luôn luôn in rõ ràng và điền hoàn toàn các bong bóng.
Hãy đến nơi trú ẩn động vật.,bạn muốn làm gì?
bạn muốn làm gì?,Tôi muốn có một con chó con cho con trai tôi.
Tôi muốn có một con chó con cho con trai tôi.,Điều đó sẽ làm cho anh ấy rất hạnh phúc.
Điều đó sẽ làm cho anh ấy rất hạnh phúc.,Tôi sẽ lấy cho anh ta một trong những con chó nhỏ đó.
Tôi sẽ lấy cho anh ta một trong những con chó nhỏ đó.,một thứ sẽ không lớn lên quá lớn.
một thứ sẽ không lớn lên quá lớn.,Và ăn quá nhiều.
Và ăn quá nhiều.,Bạn có biết anh ấy muốn cái nào không?
Bạn có biết anh ấy muốn cái nào không?,Ồ vâng tôi đã đưa anh ấy đến đó ngày hôm qua.Anh ấy cho tôi xem một cái mà anh ấy thực sự thích.
Ồ vâng tôi đã đưa anh ấy đến đó ngày hôm qua.Anh ấy cho tôi xem một cái mà anh ấy thực sự thích.,Tôi cá là bạn phải kéo anh ta đi.
Tôi cá là bạn phải kéo anh ta đi.,Anh ấy muốn mang nó về nhà ngày hôm qua.
Anh ấy muốn mang nó về nhà ngày hôm qua.,Tôi tự hỏi anh ấy sẽ đặt tên cho nó là gì.
Thời tiết như thế nào?,Tôi không biết.Tôi vừa thức dậy.
Tôi không biết.Tôi vừa thức dậy.,Tại sao bạn không nhìn bên ngoài?
Tại sao bạn không nhìn bên ngoài?,được rồi.nó trông như mưa.
được rồi.nó trông như mưa.,tại sao bạn nói như vậy?
tại sao bạn nói như vậy?,Bầu trời xám xịt.
Bầu trời xám xịt.,Bây giờ trời mưa?
Bây giờ trời mưa?,KHÔNG.
KHÔNG.,làm sao bạn biết?
làm sao bạn biết?,Đường phố không ướt.
Đường phố không ướt.,Tôi phải đi mua sắm hôm nay.
Tôi phải đi mua sắm hôm nay.,Bạn nên lấy một chiếc ô.
Tôi không thể tin nó nóng như thế nào.,Nó thậm chí còn chưa trưa.
Nó thậm chí còn chưa trưa.,Điều đó có nghĩa là nó sẽ trở nên nóng hơn.
Điều đó có nghĩa là nó sẽ trở nên nóng hơn.,Tôi sắp chết vì sức nóng.
Tôi sắp chết vì sức nóng.,Bật điều hòa không khí.
Bật điều hòa không khí.,Nó không hoạt động.
Nó không hoạt động.,chuyện gì đã xảy ra thế?
chuyện gì đã xảy ra thế?,Tôi không biết.
Tôi không biết.,Bạn đã gọi cho thợ sửa chữa?
Bạn đã gọi cho thợ sửa chữa?,tất nhiên rồi.
tất nhiên rồi.,khi nào anh ấy tới?
khi nào anh ấy tới?,Anh ấy bận.Anh ấy nói vào tuần tới.
Tôi sẽ rất vui khi mùa đông đến.,tại sao vậy?
tại sao vậy?,Vì tôi yêu tuyết.
Vì tôi yêu tuyết.,Vâng tuyết là niềm vui.
Vâng tuyết là niềm vui.,Năm ngoái chúng tôi đã làm một người tuyết lớn.
Năm ngoái chúng tôi đã làm một người tuyết lớn.,Nó đã lớn như thế nào?
Nó đã lớn như thế nào?,Nó cao bảy feet.
Nó cao bảy feet.,Mất bao lâu?
Mất bao lâu?,Nó mất cả ngày.
Nó mất cả ngày.,Bạn đã cho anh ta một cái mũi?
Bạn đã cho anh ta một cái mũi?,tất nhiên rồi.Chúng tôi đã cho anh ấy một củ cà rốt lớn cho một cái mũi.
tất nhiên rồi.Chúng tôi đã cho anh ấy một củ cà rốt lớn cho một cái mũi.,Hãy để tôi giúp bạn làm một trong năm nay.
Tôi đang đi tới ngân hàng.,bạn cần làm gì?
bạn cần làm gì?,Tôi cần rút một số tiền.
Tôi cần rút một số tiền.,Làm thế nào bạn sẽ làm điều đó?
Làm thế nào bạn sẽ làm điều đó?,Tôi sẽ chỉ sử dụng ATM.
Tôi sẽ chỉ sử dụng ATM.,Cái gì vậy?
Cái gì vậy?,Đó là máy giao dịch viên tự động.
Đó là máy giao dịch viên tự động.,Nó cho bạn tiền?
Nó cho bạn tiền?,Tôi chỉ cần chèn thẻ ghi nợ của mình vào máy.
Tôi chỉ cần chèn thẻ ghi nợ của mình vào máy.,Và nó cho bạn tiền?
Và nó cho bạn tiền?,Chà nó cho tôi tiền nhưng đó là tiền của riêng tôi.
Chà nó cho tôi tiền nhưng đó là tiền của riêng tôi.,Ồ.Cái gì tốt là điều gì?Tôi nghĩ rằng nó đã cho bạn tiền miễn phí.
Bạn đã đặt thùng màu xanh ra đường?,Ôi không. Tôi quên mất.
Ôi không. Tôi quên mất.,Chà tốt hơn là bạn nên đưa nó ra phía trước.
Chà tốt hơn là bạn nên đưa nó ra phía trước.,Xe tải tái chế đến lúc mấy giờ?
Xe tải tái chế đến lúc mấy giờ?,Nó thường đến đây vào buổi trưa thứ ba đó là ngày mai.
Nó thường đến đây vào buổi trưa thứ ba đó là ngày mai.,Tôi sẽ chỉ đưa nó ra đường vào sáng mai.
